magnitude,date_time,cdi,mmi,alert,tsunami,sig,magType,depth,latitude,longitude
6.8,18-11-2015 18:31,5,6,green,1,715,mww,12.59,-8.8994,158.422
6.5,17-11-2015 07:10,7,7,orange,0,1018,mww,11,38.67,20.6
6.7,13-11-2015 20:51,5,4,green,0,702,mww,12,31.0009,128.873
6.9,11-11-2015 02:46,5,6,green,0,744,mww,10,-29.5097,-72.0585
6.9,11-11-2015 01:54,6,6,green,1,761,mww,12,-29.5067,-72.0068
6.6,08-11-2015 16:47,7,4,green,0,675,mww,10,6.8431,94.648
6.8,07-11-2015 07:31,7,7,green,1,841,mww,46,-30.8796,-71.4519
6.5,04-11-2015 03:44,5,7,green,0,657,mww,20,-8.3381,124.875
7.5,26-10-2015 09:09,8,7,orange,0,1448,mww,231,36.5244,70.3676
7.1,20-10-2015 21:52,6,6,green,1,780,mww,135,-14.8595,167.303
6.6,24-09-2015 15:53,7,7,green,0,671,mww,18,-0.6212,131.262
6.6,21-09-2015 17:40,5,7,green,1,820,mww,35,-31.7275,-71.3792
6.7,17-09-2015 04:10,5,7,green,0,718,mww,23,-31.5173,-71.804
6.5,17-09-2015 03:55,6,7,green,0,657,mww,27,-31.4244,-71.6876
7,16-09-2015 23:18,8,7,green,0,799,mww,28.41,-31.5622,-71.4262
8.3,16-09-2015 22:54,9,8,orange,1,1960,mww,22.44,-31.5729,-71.6744
6.7,13-09-2015 08:14,5,5,green,1,708,mww,10,24.913,-109.623
6.5,12-08-2015 18:49,0,5,green,1,650,mww,6.43,-9.3293,157.877
6.6,10-08-2015 04:12,3,5,green,1,671,mww,22,-9.3438,158.053
7,27-07-2015 21:41,9,7,green,1,762,mww,48,-2.6286,138.528
6.9,27-07-2015 04:49,4,7,green,1,734,mww,29,52.376,-169.446
7,18-07-2015 02:27,8,6,green,1,759,mww,11,-10.4012,165.141
6.5,16-07-2015 15:16,4,4,green,1,686,mww,20,13.8672,-58.5479
6.7,10-07-2015 04:12,4,5,green,1,691,mww,12,-9.307,158.403
6.5,23-06-2015 12:18,3,4,green,0,652,mww,460,27.7375,139.725
7.8,30-05-2015 11:23,6,3,green,1,1151,mww,664,27.8386,140.493
6.8,29-05-2015 07:00,5,6,green,1,762,mw,72.6,56.594,-156.43
6.8,22-05-2015 23:59,1,5,green,1,711,mww,10,-11.1093,163.215
6.9,22-05-2015 21:45,1,4,green,1,732,mww,11.19,-11.0559,163.696
6.8,20-05-2015 22:48,1,4,green,1,711,mww,11,-10.8759,164.169
